gvkey,datadate,portfolio_date,fyear,tic,cusip,conm,at,lt,book_equity,sales,gross_profit,operating_profit,gross_profitability,operating_profitability,asset_growth,seq,ceq,txditc,pstkrv,pstkl,pstk,sale,revt,cogs,xsga,xrd,capx,oancf,ib,dp
002086,2020-12-31,2021-06-30,2020.0,BAX,071813109,BAXTER INTERNATIONAL INC,20019.0,11293.0,8832.0,11673.0,5553.0,2679.0,0.27738648284130074,0.3033288043478261,,8689.0,8689.0,143.0,0.0,0.0,0.0,11673.0,11673.0,6120.0,2874.0,521.0,709.0,1868.0,1102.0,823.0
002101,2020-06-30,2020-12-31,2020.0,AIT,03820C105,APPLIED INDUSTRIAL TECH INC,2283.551,1440.009,886.438,3245.652,941.636,291.73,0.41235601919992154,0.32910367109713257,,843.542,843.542,42.896,0.0,0.0,0.0,3245.652,3245.652,2304.016,649.906,0.0,20.115,296.714,24.042,62.749
002111,2020-09-30,2021-03-31,2020.0,BDX,075887109,BECTON DICKINSON & CO,54012.0,30247.0,22820.0,17117.0,9875.0,4454.0,0.1828297415389173,0.19517966695880806,,23765.0,23763.0,1530.0,2475.0,2475.0,2.0,17117.0,17117.0,7242.0,5421.0,1096.0,810.0,3539.0,874.0,2030.0
002124,2020-12-31,2021-06-30,2020.0,BELFB,077347300,BEL FUSE INC,453.866,268.067,186.829,465.771,131.25300000000004,29.149000000000044,0.2891888795371322,0.15601967574627087,,185.799,185.799,1.03,0.0,0.0,0.0,465.771,465.771,334.518,102.104,23.611,5.476,46.108,12.795,16.423
002136,2020-12-31,2021-06-30,2020.0,VZ,92343V104,VERIZON COMMUNICATIONS INC,316481.0,247209.0,103553.0,128292.0,77091.0,45644.0,0.24358808269690754,0.4407791179396058,,67842.0,67842.0,35711.0,0.0,0.0,0.0,128292.0,128292.0,51201.0,31447.0,,18192.0,41768.0,17801.0,16720.0
002137,2020-12-31,2021-06-30,2020.0,BCE,05534B760,BCE INC,60665.0,39336.0,20766.0,22883.0,11571.0,9607.0,0.19073600923102282,0.462631224116344,,20989.0,16986.0,3810.0,4033.0,4033.0,4003.0,22883.0,22883.0,11312.0,1964.0,47.0,4202.0,7754.0,2408.0,4404.0
002176,2020-12-31,2021-06-30,2020.0,BRK.B,084670702,BERKSHIRE HATHAWAY,873729.0,422393.0,516425.0,286256.0,80612.0,80612.0,0.09226201717008363,0.1560962385631989,,443164.0,443164.0,73261.0,0.0,0.0,0.0,286256.0,286256.0,205644.0,,,13012.0,39773.0,42521.0,10596.0
002184,2020-01-31,2020-07-31,2019.0,BBY,086516101,BEST BUY CO INC,15591.0,12112.0,3508.0,43638.0,10788.0,2865.0,0.6919376563401962,0.8167046750285063,,3479.0,3479.0,29.0,0.0,0.0,0.0,43638.0,43638.0,32850.0,7923.0,0.0,743.0,2565.0,1541.0,812.0
002220,2020-12-31,2021-06-30,2020.0,BIO,090572207,BIO-RAD LABORATORIES INC,12972.618,3092.678,11956.725,2513.654,1541.807,537.439,0.11885087497373313,0.044948679508811984,,9879.94,9879.94,2076.785,0.0,0.0,0.0,2513.654,2513.654,971.847,1004.368,226.598,98.92,575.328,3806.267,138.127
002259,2020-12-31,2021-06-30,2020.0,BKH,092113109,BLACK HILLS CORP,8088.786,5426.139,2970.009,1696.941,652.76,652.76,0.08069937812670529,0.21978384577285792,,2561.385,2561.385,408.624,0.0,0.0,0.0,1696.941,1696.941,1044.181,,,767.404,541.863,227.608,224.457
