permno,permco,month,date,ticker,ncusip,shrcd,exchcd,siccd,ret,retx,ret_adj,shrout,price,market_equity,vol,prc
15541,55370,2020-10-31,2020-10-30,RPD,75342210,11,3,9999,0.011267,0.011267,0.011267,51839.0,61.93,3210.38927,128575.0,61.93
15541,55370,2020-11-30,2020-11-30,RPD,75342210,11,3,9999,0.210076,0.210076,0.210076,51839.0,74.94,3884.8146599999995,114422.0,74.94
15541,55370,2020-12-31,2020-12-31,RPD,75342210,11,3,9999,0.203096,0.203096,0.203096,52225.0,90.16,4708.606,158597.0,90.16
15542,55371,2020-01-31,2020-01-31,VTVT,91838510,11,3,9999,0.3,0.3,0.3,40919.0,2.21,90.43099000000001,103678.0,2.21
15542,55371,2020-02-29,2020-02-28,VTVT,91838510,11,3,9999,0.547511,0.547511,0.547511,40919.0,3.42,139.94298,384043.0,3.42
15542,55371,2020-03-31,2020-03-31,VTVT,91838510,11,3,9999,-0.44152,-0.44152,-0.44152,44680.0,1.91,85.3388,53529.0,1.91
15542,55371,2020-04-30,2020-04-30,VTVT,91838510,11,3,9999,0.099476,0.099476,0.099476,44669.0,2.1,93.8049,27486.0,2.1
15542,55371,2020-05-31,2020-05-29,VTVT,91838510,11,3,9999,0.371429,0.371429,0.371429,44680.0,2.88,128.67839999999998,87157.0,2.88
15542,55371,2020-06-30,2020-06-30,VTVT,91838510,11,3,9999,-0.21875,-0.21875,-0.21875,47943.0,2.25,107.87175,144969.0,2.25
15542,55371,2020-07-31,2020-07-31,VTVT,91838510,11,3,9999,0.044444,0.044444,0.044444,47943.0,2.35,112.66605,190724.0,2.35
15542,55371,2020-08-31,2020-08-31,VTVT,91838510,11,3,9999,-0.114894,-0.114894,-0.114894,47959.0,2.08,99.75472,39601.0,2.08
15542,55371,2020-09-30,2020-09-30,VTVT,91838510,11,3,9999,-0.149038,-0.149038,-0.149038,49153.0,1.77,87.00081,85484.0,1.77
15542,55371,2020-10-31,2020-10-30,VTVT,91838510,11,3,9999,-0.039548,-0.039548,-0.039548,49153.0,1.7,83.56009999999999,118326.0,1.7
15542,55371,2020-11-30,2020-11-30,VTVT,91838510,11,3,9999,0.223529,0.223529,0.223529,50786.0,2.08,105.63488000000001,195510.0,2.08
15542,55371,2020-12-31,2020-12-31,VTVT,91838510,11,3,9999,-0.105769,-0.105769,-0.105769,54051.0,1.86,100.53486,1460783.0,1.86
15543,55373,2020-01-31,2020-01-31,XELB,98400M10,11,3,9999,0.046667,0.046667,0.046667,18866.0,1.57,29.61962,3981.0,1.57
15543,55373,2020-02-29,2020-02-28,XELB,98400M10,11,3,9999,-0.149682,-0.149682,-0.149682,18866.0,1.335,25.18611,3598.0,1.335
15543,55373,2020-03-31,2020-03-31,XELB,98400M10,11,3,9999,-0.543071,-0.543071,-0.543071,19048.0,0.61,11.61928,6161.0,0.61
15543,55373,2020-04-30,2020-04-30,XELB,98400M10,11,3,9999,0.246066,0.246066,0.246066,19048.0,0.7601,14.4783848,10804.0,0.7601
15543,55373,2020-05-31,2020-05-29,XELB,98400M10,11,3,9999,0.060913,0.060913,0.060913,19048.0,0.8064,15.3603072,112056.0,0.8064
